,Date,variable,value
525,2020-06-19,Age-18to64,740
526,2020-06-20,Age-18to64,745
527,2020-06-21,Age-18to64,749
528,2020-06-22,Age-18to64,756
529,2020-06-23,Age-18to64,761
530,2020-06-24,Age-18to64,771
531,2020-06-25,Age-18to64,775
532,2020-06-26,Age-18to64,784
533,2020-06-27,Age-18to64,789
534,2020-06-28,Age-18to64,793
535,2020-06-29,Age-18to64,804
536,2020-06-30,Age-18to64,811
537,2020-07-01,Age-18to64,823
538,2020-07-02,Age-18to64,823
539,2020-07-03,Age-18to64,823
540,2020-07-04,Age-18to64,836
541,2020-07-05,Age-18to64,849
542,2020-07-06,Age-18to64,864
543,2020-07-07,Age-18to64,891
544,2020-07-08,Age-18to64,920
545,2020-07-09,Age-18to64,937
546,2020-07-10,Age-18to64,951
547,2020-07-11,Age-18to64,953
548,2020-07-12,Age-18to64,953
549,2020-07-13,Age-18to64,973
550,2020-07-14,Age-18to64,985
551,2020-07-15,Age-18to64,1005
552,2020-07-16,Age-18to64,1020
553,2020-07-17,Age-18to64,1031
554,2020-07-18,Age-18to64,1039
555,2020-07-19,Age-18to64,1042
556,2020-07-20,Age-18to64,1046
557,2020-07-21,Age-18to64,1046
558,2020-07-22,Age-18to64,1046
559,2020-07-23,Age-18to64,1051
560,2020-07-24,Age-18to64,1051
561,2020-07-25,Age-18to64,1051
562,2020-07-26,Age-18to64,1051
563,2020-07-27,Age-18to64,1051
564,2020-07-28,Age-18to64,1075
565,2020-07-29,Age-18to64,1083
566,2020-07-30,Age-18to64,1102
567,2020-07-31,Age-18to64,1121
568,2020-08-01,Age-18to64,1131
569,2020-08-02,Age-18to64,1134
570,2020-08-03,Age-18to64,1150
571,2020-08-04,Age-18to64,1168
572,2020-08-05,Age-18to64,1188
573,2020-08-06,Age-18to64,1200
574,2020-08-07,Age-18to64,1216
575,2020-08-08,Age-18to64,1221
576,2020-08-09,Age-18to64,1228
577,2020-08-10,Age-18to64,1242
578,2020-08-11,Age-18to64,1253
579,2020-08-12,Age-18to64,1267
580,2020-08-13,Age-18to64,1278
581,2020-08-14,Age-18to64,1293
